,Unnamed: 0,Brand,Processor,RAM (GB),Storage,GPU,Screen Size (inch),Resolution,Battery Life (hours),Weight (kg),Operating System,Y,RAM latency,% defective devices (from 1000 pc),QDR benchamrk
0,0,Apple,AMD Ryzen 3,64,512GB SSD,Nvidia GTX 1650,17.3,2560x1440,8.9,1.42,FreeDOS,3997.07,8.3,13.84,1076.0
1,1,Razer,AMD Ryzen 7,4,1TB SSD,Nvidia RTX 3080,14.0,1366x768,9.4,2.57,Linux,1355.78,7.2,9.31,2171.0
2,2,Asus,Intel i5,32,2TB SSD,Nvidia RTX 3060,13.3,3840x2160,8.5,1.74,FreeDOS,2673.07,7.9,13.52,432.0
3,3,Lenovo,Intel i5,4,256GB SSD,Nvidia RTX 3080,13.3,1366x768,10.5,3.1,Windows,751.17,6.6,14.55,1805.0
4,4,Razer,Intel i3,4,256GB SSD,AMD Radeon RX 6600,16.0,3840x2160,5.7,3.38,Linux,2059.83,7.6,9.59,958.0
5,5,Acer,AMD Ryzen 3,64,2TB SSD,Nvidia RTX 3060,14.0,1366x768,7.1,1.85,Linux,1676.64,7.4,8.57,1723.0
6,6,Dell,Intel i5,8,1TB SSD,Nvidia RTX 2060,15.6,2560x1440,9.1,1.98,Windows,1449.05,7.3,12.05,751.0
7,7,Microsoft,AMD Ryzen 9,8,1TB SSD,Nvidia RTX 3080,17.3,2560x1440,9.8,1.26,Linux,2193.55,7.7,8.92,613.0
8,8,Apple,Intel i5,64,256GB SSD,Nvidia RTX 2060,15.6,3840x2160,11.5,1.48,Linux,6409.03,8.8,7.07,1541.0
9,9,HP,AMD Ryzen 5,4,1TB SSD,AMD Radeon RX 6800,14.0,3840x2160,7.5,2.19,FreeDOS,1556.72,7.4,5.31,607.0
10,10,Razer,Intel i9,8,256GB SSD,Nvidia GTX 1650,16.0,1366x768,6.4,2.53,Windows,2044.38,7.6,11.87,1662.0
11,11,Razer,Intel i5,32,1TB HDD,AMD Radeon RX 6800,16.0,1920x1080,8.3,1.21,Windows,2032.69,7.6,10.32,1772.0
12,12,Lenovo,Intel i5,4,256GB SSD,Nvidia RTX 2060,16.0,3840x2160,9.3,2.97,Windows,1770.05,7.5,14.49,2076.0
13,13,Acer,AMD Ryzen 3,16,512GB SSD,Integrated,15.6,1920x1080,10.9,2.02,Windows,629.96,6.4,10.15,1142.0
14,14,Samsung,Intel i3,32,256GB SSD,Nvidia RTX 3060,15.6,2560x1440,11.8,2.95,macOS,1909.02,7.6,7.76,946.0
15,15,MSI,Intel i7,8,512GB SSD,Integrated,13.3,1920x1080,7.8,3.34,macOS,982.19,6.9,10.4,1231.0
16,16,Razer,AMD Ryzen 3,16,1TB SSD,Nvidia RTX 3080,17.3,3840x2160,11.6,3.11,macOS,2413.0,7.8,10.77,1347.0
17,17,Microsoft,AMD Ryzen 9,4,2TB SSD,AMD Radeon RX 6800,17.3,1920x1080,8.3,1.48,Linux,1585.6,7.4,9.37,1043.0
18,18,Razer,Intel i5,32,512GB SSD,Nvidia GTX 1650,14.0,1920x1080,10.0,3.4,FreeDOS,2191.16,7.7,6.12,1135.0
19,19,HP,AMD Ryzen 9,16,2TB SSD,Nvidia RTX 3060,16.0,1366x768,7.2,2.17,FreeDOS,1778.84,7.5,8.36,959.0
20,20,Dell,Intel i7,64,256GB SSD,AMD Radeon RX 6600,17.3,1920x1080,6.4,2.48,FreeDOS,3311.34,8.1,9.21,1187.0
21,21,Acer,AMD Ryzen 7,16,1TB SSD,AMD Radeon RX 6600,15.6,1920x1080,11.4,3.05,Linux,1734.32,7.5,3.84,987.0
22,22,Dell,AMD Ryzen 3,8,1TB HDD,Nvidia GTX 1650,13.3,2560x1440,7.0,1.7,Linux,878.5,6.8,4.15,1831.0
23,23,Dell,Intel i5,8,1TB HDD,Integrated,13.3,2560x1440,11.9,2.53,macOS,830.62,6.7,0.01,1412.0
24,24,Apple,Intel i9,64,256GB SSD,Integrated,17.3,1920x1080,6.9,2.55,Windows,4428.68,8.4,13.6,298.0
25,25,HP,AMD Ryzen 7,8,512GB SSD,Nvidia RTX 3060,14.0,2560x1440,4.4,1.6,macOS,1504.2,7.3,9.83,1197.0
26,26,Asus,AMD Ryzen 9,64,512GB SSD,AMD Radeon RX 6600,13.3,1920x1080,6.2,2.58,macOS,3907.83,8.3,11.5,1353.0
27,27,Microsoft,AMD Ryzen 9,8,1TB SSD,Integrated,13.3,1366x768,9.9,3.11,Windows,976.43,6.9,10.25,1445.0
28,28,Microsoft,AMD Ryzen 5,64,512GB SSD,AMD Radeon RX 6600,16.0,2560x1440,9.3,2.31,macOS,3286.11,8.1,9.61,721.0
29,29,Dell,AMD Ryzen 3,4,1TB SSD,Nvidia GTX 1650,15.6,1366x768,5.4,1.95,Windows,831.69,6.7,8.73,1089.0
30,30,Samsung,Intel i7,32,1TB SSD,AMD Radeon RX 6800,15.6,2560x1440,11.5,2.32,FreeDOS,2868.04,8.0,9.08,1102.0
